old_id,name,usage_count,category_major,category_sub,drop_type,reason
263,油豆腐,52,干豆类及其制品,大豆,processed,豆制品或淀粉制品（严格模式排除）
265,茶叶,52,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
267,咸肉,52,畜肉类及其制品,猪,processed,成品、半成品或加工食品
270,鱼豆腐,51,鱼虾蟹贝类,水产,processed,豆制品或淀粉制品（严格模式排除）
277,咸菜,51,蔬菜类及其制品,蔬菜,processed,成品、半成品或加工食品
283,蜜红豆,50,干豆类及其制品,豆制品,processed,成品、半成品或加工食品
286,蛋挞皮,50,其他,烘焙与加工食品,processed,成品、半成品或加工食品
288,苏打,49,其他类,其他,junk,不属于指南允许的基础原生食材类别
290,酒酿,49,其他类,其他,junk,不属于指南允许的基础原生食材类别
292,面包粉,49,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
293,火锅料,49,其他类,其他,junk,不属于指南允许的基础原生食材类别
298,抹茶,48,其他,烘焙与加工食品,processed,饮料、酒类或乳制品不属于本版核心原生食材
299,酸豆角,48,干豆类及其制品,豆制品,processed,成品、半成品或加工食品
300,豆干,48,干豆类及其制品,大豆,processed,豆制品或淀粉制品（严格模式排除）
302,豆腐皮,48,干豆类及其制品,大豆,processed,豆制品或淀粉制品（严格模式排除）
